IDENT,AGE10,CA0ACATAEU_15,CA0AREGIONF_15,CA0AREG_15,CA1,CA11,CA12,CA20_15,CA23A,CA7,CA8,CA8B3,HABDE_15,OS1,PER1,Q1,Q31,STRADEF,CONTRAT_15,DEST,LIEUNAIS,PCS_15,PHD,PONDEF,POSPRO_15,REGETAB,SALPRS_15,SITDE_15,TAPE,TAPI,ZUS
C0085676,23,111,RHÔNE-ALPES,82,,2,3,2,2,,,,03,2,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,472D,16,45.253838992,06,82,1842,1,0,12,2
C0085761,23,111,RHÔNE-ALPES,82,,,6,1,2,,,,02,2,1,2,2,46,"02 CDI, Fonctionnaire",CER,00,333F,13L,37.777125448,08,82,1982,1,0,11,2
C0085912,22,112,RHÔNE-ALPES,82,2,,1,2,2,,,,01,2,1,2,2,46,"02 CDI, Fonctionnaire",CER,00,435B,13L,55.585728429,92,82,1449.6640625,1,0,16,2
C0085931,23,111,PROVENCE-ALPES-CÔTE D'AZUR,93,2,1,5,2,2,,1,,01,1,1,2,2,24,03 Contrat aidé,CER,00,525A,06T,33.902298318,91,93,682,1,0,,2
C0086058,23,120,MIDI-PYRÉNÉES,73,,6,5,2,2,,,,03,2,1,2,2,46,,CER,00,,13L,34.221145801,,82,,5,0,,2
C0086088,24,111,RHÔNE-ALPES,82,2,1,1,2,2,4,3,2,01,1,2,2,1,34,04 Emploi à durée déterminée,CER,06,461E,09L,37.930170768,92,82,1460,1,0,,2
C0086163,24,111,MIDI-PYRÉNÉES,73,,3,2,2,2,,,,03,1,1,1,2,20,04 Emploi à durée déterminée,CER,00,532C,10L,43.668128496,04,82,2100,1,0,,2
C0086203,23,111,RHÔNE-ALPES,82,,5,3,2,2,,,,02,2,1,2,2,40,01 Non salarié,CER,00,432A,12L,37.297326783,,82,,1,0,,2
C0086227,23,111,RHÔNE-ALPES,82,,4,4,2,2,,,,02,1,2,1,2,47,"02 CDI, Fonctionnaire",CER,00,388C,13M,45.31439891,71,82,1742,1,5,5,2
C0086638,23,112,RHÔNE-ALPES,82,,2,4,2,2,,,,02,2,1,2,2,33,01 Non salarié,CER,00,432C,08,73.07446852,,11,,1,1,,1
