IDENT,AGE10,CA0ACATAEU_15,CA0AREGIONF_15,CA0AREG_15,CA1,CA11,CA12,CA20_15,CA23A,CA7,CA8,CA8B3,HABDE_15,OS1,PER1,Q1,Q31,STRADEF,CONTRAT_15,DEST,LIEUNAIS,PCS_15,PHD,PONDEF,POSPRO_15,REGETAB,SALPRS_15,SITDE_15,TAPE,TAPI,ZUS
A0038206,24,111,RHÔNE-ALPES,82,,2,7,2,2,,,,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387F,16,37.001961927,71,82,5200,1,12,12,2
A0038240,23,111,RHÔNE-ALPES,82,,6,6,2,2,,,,02,2,1,2,2,49,,CER,00,,16,44.583135086,,82,,2,0,0,2
A0038310,24,111,PAYS DE LA LOIRE,52,,4,4,2,2,,,,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,384A,16,35.996549195,73,82,1800,1,12,12,2
A0038328,24,111,ÎLE-DE-FRANCE,11,,6,6,2,2,,,,01,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,382A,16,34.842526466,71,82,2250.328125,1,0,9,2
A0038333,23,111,PAYS DE LA LOIRE,52,,1,4,2,2,,,,03,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,384B,16,34.522089907,71,82,2380,1,5,5,2
A0038341,28,112,LIMOUSIN,74,,6,3,1,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387D,16,47.674070491,71,82,2075,1,3,3,2
A0038368,23,111,HAUTE-NORMANDIE,23,,6,6,2,1,,,,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387D,16,36.425044677,71,31,2423,1,2,2,2
A0038395,25,111,ÎLE-DE-FRANCE,11,,6,6,2,2,3,3,2,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,10,382C,14M,59.704861814,71,11,2983.65625,1,0,0,2
A0038414,25,111,ÎLE-DE-FRANCE,11,,1,3,1,2,2,2,2,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,09,387D,06I,37.61787958,71,11,2200,1,1,1,2
A0038467,25,111,ÎLE-DE-FRANCE,11,,5,3,1,2,,,,02,2,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,372C,14M,58.373962627,71,11,2592,1,0,0,2
A0038628,25,111,ÎLE-DE-FRANCE,11,,3,3,1,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,374D,16,74.544448802,73,82,2406,1,0,0,2
A0038651,23,111,RHÔNE-ALPES,82,,1,3,2,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,388C,12M,25.503102352,71,82,2600,1,0,14,2
A0038697,27,111,MIDI-PYRÉNÉES,73,,6,1,2,2,,,,02,1,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,373B,16,58.050387948,71,73,1632,1,0,0,2
A0038731,23,111,MIDI-PYRÉNÉES,73,,5,6,2,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387E,16,42.092850386,71,73,2862.3125,1,0,0,2
A0038756,25,111,MIDI-PYRÉNÉES,73,,6,6,2,1,,2,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,384A,16,29.951738894,71,73,2033.328125,1,0,8,2
A0038769,23,111,PAYS DE LA LOIRE,52,,5,5,2,2,,,,01,2,1,1,2,49,01 Non salarié,CER,00,483A,07T,42.02765004,,52,,1,0,,2
A0038785,24,111,ÎLE-DE-FRANCE,11,,5,5,2,2,,,,03,2,1,1,2,49,,DGA,00,,16,68.861249489,,52,,5,6,,2
A0038791,26,111,ÎLE-DE-FRANCE,11,,,,2,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",DGA,00,471A,16,48.596154282,71,52,1405.65625,1,6,17,2
A0038824,24,111,ÎLE-DE-FRANCE,11,,5,5,2,2,,,,02,2,1,2,2,49,"02 CDI, Fonctionnaire",DGA,00,474A,16,54.4600866,92,52,2558.328125,1,7,20,2
A0038857,23,111,PAYS DE LA LOIRE,52,,6,3,2,2,,,,03,2,1,1,2,49,04 Emploi à durée déterminée,DGA,00,423B,16,66.137237773,05,52,1743,1,5,9,2
A0038860,25,111,ÎLE-DE-FRANCE,11,,3,3,2,2,,,,02,1,1,1,2,49,"02 CDI, Fonctionnaire",DGA,00,387F,16,33.284591535,71,52,2625,1,0,6,2
A0038923,24,111,LANGUEDOC-ROUSSILLON,91,,4,3,2,2,,,,01,2,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,381A,16,69.296381807,71,91,2207,1,4,33,2
A0038933,24,111,ÎLE-DE-FRANCE,11,,7,7,2,2,,,,03,1,1,1,2,49,04 Emploi à durée déterminée,CER,00,332B,16,43.716053535,71,91,1490,1,6,,2
A0038934,24,111,RHÔNE-ALPES,82,,6,6,2,2,,1,,03,2,1,2,2,49,"02 CDI, Fonctionnaire",CER,09,353C,16,66.29957633,71,91,2100,1,5,54,2
A0038981,24,400,HAUTE-NORMANDIE,23,,5,5,2,2,,,,02,2,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,372B,16,55.834573423,71,91,2233,1,0,0,2
A0039040,23,111,ALSACE,42,,6,6,2,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,381A,13M,52.048136686,71,91,4750,1,1,37,2
A0039138,23,400,AUVERGNE,83,,1,1,2,2,3,3,2,03,1,1,1,2,49,,CER,00,,16,47.83134789,,83,,2,6,6,2
A0039445,22,111,RHÔNE-ALPES,82,,4,4,2,2,,,,02,2,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,387B,16,50.671841703,71,82,1136,1,6,6,2
A0039575,24,300,LORRAINE,41,,1,1,2,2,,,,02,2,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,373B,16,144.30895866,71,82,1501,1,6,18,2
A0039596,26,111,ÎLE-DE-FRANCE,11,,4,6,2,2,1,,,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387D,16,30.792950916,71,11,2250,1,6,6,2
A0039619,25,111,ÎLE-DE-FRANCE,11,,3,1,2,2,3,3,1,03,2,1,2,2,49,"02 CDI, Fonctionnaire",CER,07,387D,16,69.377318061,71,11,3630,1,0,0,2
A0039637,24,111,ÎLE-DE-FRANCE,11,,6,5,2,2,,,,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,380A,16,32.167751987,73,11,2530,1,0,0,2
A0039673,24,111,ÎLE-DE-FRANCE,11,,1,1,1,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387D,16,31.390275011,71,11,2500,1,0,0,2
A0039713,23,111,ÎLE-DE-FRANCE,11,,6,6,2,2,,,,02,2,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,388A,16,41.54137234,71,11,2398,1,2,10,2
A0039733,23,111,ÎLE-DE-FRANCE,11,,6,4,2,2,1,2,1,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387D,16,45.209912506,71,11,2830,1,0,0,2
A0039737,23,111,ÎLE-DE-FRANCE,11,,6,6,2,2,2,1,1,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,388C,16,60.410475823,71,11,2700,1,0,0,2
A0039776,23,111,ÎLE-DE-FRANCE,11,,5,2,2,2,1,,,03,2,1,1,2,49,01 Non salarié,CER,00,227D,16,30.688846943,,11,,1,2,2,2
A0039799,23,111,CHAMPAGNE-ARDENNE,21,,6,4,2,2,,,,01,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,388A,16,31.907312978,71,11,2650,1,0,0,2
A0039858,22,111,ÎLE-DE-FRANCE,11,,6,6,2,2,,,,03,2,2,1,2,49,"02 CDI, Fonctionnaire",CER,00,387D,16,33.179865821,71,11,2859.3125,1,0,13,2
A0039935,29,111,ÎLE-DE-FRANCE,11,,6,4,2,2,3,3,2,03,2,1,1,3,49,"02 CDI, Fonctionnaire",CER,07,382A,14M,29.631985062,71,11,3142,1,0,0,2
A0039976,25,111,ÎLE-DE-FRANCE,11,,6,6,2,2,3,3,2,03,2,1,2,3,49,"02 CDI, Fonctionnaire",CER,07,388A,14M,59.792474139,73,11,3200,1,0,0,2
A0039985,23,111,PROVENCE-ALPES-CÔTE D'AZUR,93,,6,6,2,2,,,,02,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387D,16,36.402312827,73,11,3000,1,0,0,2
A0039987,23,111,ÎLE-DE-FRANCE,11,,6,5,2,2,,,,02,2,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,387B,14L,67.877208569,73,11,2546,1,1,1,2
A0040077,23,111,ÎLE-DE-FRANCE,11,,1,1,2,1,,,,02,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387D,13M,52.03158772,71,11,3233.625,1,0,0,2
A0040097,23,111,BASSE-NORMANDIE,25,,6,6,2,2,,,,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,388C,16,40.720834681,71,11,5081,1,0,0,2
A0040179,23,111,PAYS DE LA LOIRE,52,,3,3,2,1,,,,02,1,1,1,2,49,,CER,00,,16,53.106555728,,11,,2,3,8,2
A0040401,22,111,ÎLE-DE-FRANCE,11,,6,6,2,2,,,,02,2,2,1,2,49,"02 CDI, Fonctionnaire",CER,00,375B,16,48.501290963,71,11,3033,1,5,5,2
A0040436,24,112,BRETAGNE,53,,6,4,1,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,374D,16,34.042765689,71,54,1506,1,0,0,2
A0040576,23,111,ÎLE-DE-FRANCE,11,,5,3,2,1,1,,,01,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,388A,16,33.618179564,71,11,2817,1,6,6,2
A0040626,23,111,CHAMPAGNE-ARDENNE,21,,1,3,2,2,,,,02,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387D,16,54.812858323,71,11,2900,1,0,0,2
A0040633,25,111,PROVENCE-ALPES-CÔTE D'AZUR,93,,6,6,2,3,,,,03,2,1,1,2,49,01 Non salarié,CER,00,226A,16,39.287831539,,11,,1,7,,2
A0040714,24,111,CHAMPAGNE-ARDENNE,21,,1,1,1,2,,,,02,1,1,2,2,49,"02 CDI, Fonctionnaire",DGA,00,374B,16,70.667611853,71,83,2153.65625,1,0,14,2
A0040753,24,111,RHÔNE-ALPES,82,,2,2,2,2,,,,02,1,1,2,2,49,"02 CDI, Fonctionnaire",DGA,00,332B,16,67.797489695,71,83,1842,1,0,3,2
A0040765,25,111,RHÔNE-ALPES,82,,1,5,2,2,,,,02,2,1,1,2,49,04 Emploi à durée déterminée,DGA,00,480A,16,59.389572142,71,83,2137.15625,1,2,38,2
A0040771,24,111,BOURGOGNE,26,,2,2,2,2,,,,03,2,1,2,2,49,04 Emploi à durée déterminée,DGA,00,553C,16,84.958526375,92,83,1238,1,0,27,2
A0040821,23,300,AQUITAINE,72,,2,1,2,2,,,,02,1,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,342E,16,48.305724853,71,72,2500.3125,1,11,27,2
A0040853,23,221,MIDI-PYRÉNÉES,73,,1,2,1,2,,,,03,1,1,2,2,49,04 Emploi à durée déterminée,CER,00,333F,16,97.191356644,71,72,909,1,0,,2
A0040903,23,111,ÎLE-DE-FRANCE,11,,4,4,2,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,332A,16,33.088217583,72,72,3575,1,0,14,2
A0040908,23,300,CENTRE,24,,1,2,2,2,,,,02,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,381A,16,37.427320175,73,72,3215.3125,1,0,0,2
A0040931,23,111,MIDI-PYRÉNÉES,73,,2,3,2,1,,,,02,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387D,16,40.289769697,71,72,2325,1,0,12,2
A0040948,24,112,RHÔNE-ALPES,82,,1,1,2,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,384B,16,18.130920318,71,82,2167,1,0,0,2
A0040963,23,111,RHÔNE-ALPES,82,,1,3,1,2,,,,02,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,372A,16,12.816855592,71,82,2850,1,0,0,2
A0040985,23,111,RHÔNE-ALPES,82,,4,4,2,2,,,,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,373D,16,20.741949943,71,82,1625,1,0,0,2
A0041036,22,111,HAUTE-NORMANDIE,23,,6,4,2,2,,,,03,2,1,1,2,49,,CER,00,,16,21.794406784,,82,,4,7,25,2
A0041111,23,111,ÎLE-DE-FRANCE,11,,2,2,2,2,,,,03,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387D,16,52.692408237,71,11,2100,1,5,5,2
A0041149,23,111,ÎLE-DE-FRANCE,11,,6,5,2,2,,,,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,383A,16,45.072079784,71,11,3116.625,1,0,0,2
A0041183,25,111,ÎLE-DE-FRANCE,11,,6,6,2,2,1,,,03,2,2,1,2,49,"02 CDI, Fonctionnaire",CER,00,387D,16,51.834992766,71,11,2568,1,0,8,2
A0041207,24,111,ÎLE-DE-FRANCE,11,,6,6,2,2,3,3,1,03,2,2,1,2,49,"02 CDI, Fonctionnaire",CER,00,383A,16,52.599775962,71,11,3258.3125,1,4,4,2
A0041236,23,111,ÎLE-DE-FRANCE,11,,,6,2,2,,,,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,380A,16,52.692408237,71,11,2130,1,9,9,2
A0041246,24,111,ALSACE,42,,6,6,2,2,3,3,1,02,2,1,2,3,49,"02 CDI, Fonctionnaire",CER,08,388A,16,35.226695995,71,11,2492,1,3,3,2
A0041310,23,111,ÎLE-DE-FRANCE,11,,6,6,2,2,3,,,02,2,2,1,2,49,"02 CDI, Fonctionnaire",CER,00,333E,16,56.315022873,08,41,2367,1,0,0,2
A0041344,23,111,CENTRE,24,,5,5,2,2,,,,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387D,16,21.676602363,73,41,1650,1,3,8,2
A0041346,23,111,ÎLE-DE-FRANCE,11,,,5,2,2,,,,02,1,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,387D,16,77.39446944,71,41,2941,1,6,6,2
A0041405,24,111,ÎLE-DE-FRANCE,11,,1,1,1,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,386A,16,31.017097581,71,41,2400,1,2,2,2
A0041518,23,300,CENTRE,24,,6,6,1,2,,,,02,2,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,387D,16,44.113651086,71,24,3883.625,1,0,0,2
A0041729,23,111,LORRAINE,41,,1,4,2,2,,,,03,2,1,1,2,49,,DGA,00,,16,58.499580362,,41,,2,3,,2
A0041731,24,211,CENTRE,24,,6,6,2,2,3,3,2,03,2,1,1,3,49,"02 CDI, Fonctionnaire",DGA,07,383A,16,41.032295519,71,41,3141.65625,1,16,16,2
A0041744,23,111,ÎLE-DE-FRANCE,11,,1,3,2,2,1,1,1,02,2,1,1,2,49,"02 CDI, Fonctionnaire",DGA,00,387D,16,28.29824766,71,41,3500,1,0,12,2
A0041763,24,111,ÎLE-DE-FRANCE,11,,6,6,1,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",DGA,00,387D,16,55.910679087,71,41,2600,1,1,3,2
A0041768,23,111,ÎLE-DE-FRANCE,11,,6,6,2,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",DGA,00,387E,16,38.976518038,71,41,3792,1,0,0,2
A0041784,23,120,PROVENCE-ALPES-CÔTE D'AZUR,93,,1,1,2,2,,,,03,2,1,1,2,49,"02 CDI, Fonctionnaire",DGA,00,374D,16,57.21639811,71,41,2342,1,6,6,2
A0041890,23,111,ÎLE-DE-FRANCE,11,,6,6,2,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,372B,16,52.899859902,73,11,3500,1,0,27,2
A0041908,24,111,ÎLE-DE-FRANCE,11,,6,6,2,2,,,,02,2,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,372B,16,64.533939036,71,11,2700,1,4,4,2
A0041926,25,111,ÎLE-DE-FRANCE,11,,6,6,2,1,,,,01,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,382C,16,33.796712197,04,11,1495,1,0,0,2
A0041976,23,111,ÎLE-DE-FRANCE,11,,1,4,2,2,1,,,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387D,16,37.860289027,71,11,2492,1,0,0,2
A0042242,23,111,ÎLE-DE-FRANCE,11,,3,2,2,2,,,,03,2,1,2,2,49,04 Emploi à durée déterminée,CER,00,342G,16,42.077314852,71,82,1700,1,2,6,2
A0042300,24,111,NORD-PAS-DE-CALAIS,31,,1,3,1,2,,,,02,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,384B,16,40.898777416,71,31,2750,1,0,9,2
A0042398,27,111,NORD-PAS-DE-CALAIS,31,,1,1,1,2,2,2,1,02,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,382C,16,30.197689735,71,31,2129.6640625,1,0,0,2
A0042416,23,111,NORD-PAS-DE-CALAIS,31,,6,5,2,2,,,,02,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387D,16,44.463880631,71,31,3116.328125,1,0,0,2
A0042482,23,112,NORD-PAS-DE-CALAIS,31,,,,2,2,,,,03,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,542B,16,42.667771945,91,31,1920,1,0,0,2
A0042510,23,111,ÎLE-DE-FRANCE,11,,1,1,1,2,4,3,2,01,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,486A,16,40.265921434,03,31,2425,1,3,3,2
A0042826,25,211,POITOU-CHARENTES,54,,6,6,2,2,,,,03,2,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,387D,13M,52.300852997,71,93,2383,1,0,0,2
A0042860,26,111,PROVENCE-ALPES-CÔTE D'AZUR,93,,,1,2,2,3,3,2,02,2,2,2,3,49,"02 CDI, Fonctionnaire",CER,09,388C,13M,51.774153494,71,93,1486,1,0,0,2
A0043068,23,111,PROVENCE-ALPES-CÔTE D'AZUR,93,,1,1,2,2,4,4,1,03,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,388C,16,46.335717342,71,93,2783.3125,1,0,0,1
A0043125,23,111,ÎLE-DE-FRANCE,11,,5,5,2,2,1,2,1,03,1,1,2,2,49,"02 CDI, Fonctionnaire",CER,09,372A,16,36.736454523,71,24,2500,1,0,0,2
A0043167,23,111,PAYS DE LA LOIRE,52,,1,5,2,2,,,,03,2,1,1,2,49,,CER,00,,16,43.17443173,,24,,5,1,1,2
A0043172,23,111,MIDI-PYRÉNÉES,73,2,,5,2,2,,,,02,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,384A,16,42.568394402,71,24,2666,1,5,5,2
A0043188,23,111,PROVENCE-ALPES-CÔTE D'AZUR,93,,,4,2,1,,,,02,1,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,387D,16,58.800132255,71,24,2481,1,0,0,2
A0043196,24,111,ÎLE-DE-FRANCE,11,,6,6,2,2,,,,03,2,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,382C,16,87.990886672,71,24,2600,1,0,0,2
A0043239,23,111,RHÔNE-ALPES,82,,4,6,2,2,,1,,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387D,16,60.722679426,71,24,1850,1,0,0,1
A0043247,25,111,CENTRE,24,,1,1,2,2,,,,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,374C,16,64.586662841,73,24,2691.625,1,0,0,2
A0043366,24,111,NORD-PAS-DE-CALAIS,31,,6,4,2,2,,,,03,2,2,1,2,49,"02 CDI, Fonctionnaire",CER,00,374D,16,63.220227275,71,11,2150,1,2,53,2
A0043407,26,111,ÎLE-DE-FRANCE,11,,4,3,2,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,384A,16,38.152720722,71,11,2400,1,0,0,2
A0043560,23,111,CENTRE,24,,2,3,2,2,,,,01,2,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,387F,16,18.039120608,71,24,2700,1,0,17,2
A0043564,22,221,POITOU-CHARENTES,54,,1,3,2,2,,,,03,2,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,332B,16,19.088674871,71,24,1900,1,12,50,2
A0043636,23,111,CENTRE,24,,1,1,2,2,,,,03,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,383B,16,37.578842285,71,24,2055,1,0,0,2
A0044001,25,112,AQUITAINE,72,,1,7,2,2,,,,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,484A,13M,42.467064843,71,52,2281,1,0,8,2
A0044008,23,112,PAYS DE LA LOIRE,52,,1,1,2,2,,,,01,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,691E,13M,39.741007693,92,52,1400,1,2,2,2
A0044035,23,112,CENTRE,24,,1,1,2,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,373D,16,53.927695902,71,52,3233.25,1,0,0,2
A0044090,24,112,ÎLE-DE-FRANCE,11,,1,6,2,2,,,,03,2,1,1,2,49,01 Non salarié,CER,00,691C,16,41.696070014,,52,,1,0,,2
A0044144,23,111,PAYS DE LA LOIRE,52,,6,3,1,2,3,,,02,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,374B,16,68.420848932,73,52,3475.3125,1,1,7,2
A0044170,23,221,BRETAGNE,53,,3,3,2,2,,,,02,1,1,1,2,49,01 Non salarié,CER,00,227D,16,45.150837165,,52,,1,0,0,2
A0044244,21,212,PAYS DE LA LOIRE,52,,7,7,2,2,,,,03,1,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,545C,10L,48.290206793,91,52,1314.65625,1,2,30,2
A0044279,22,111,RHÔNE-ALPES,82,,1,3,2,2,,,,03,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,463B,10L,42.231175639,03,52,1700,1,13,13,2
A0044381,24,111,ÎLE-DE-FRANCE,11,,7,5,2,2,,,,02,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387D,16,39.527729914,71,22,2300,1,0,3,2
A0044440,23,111,ÎLE-DE-FRANCE,11,,3,3,2,2,,,,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,388C,16,46.003728957,71,22,2400,1,9,12,2
A0044479,24,111,ÎLE-DE-FRANCE,11,,1,2,2,2,2,,,02,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387D,16,36.258153704,71,11,3175,1,0,0,2
A0044548,23,111,MIDI-PYRÉNÉES,73,,1,1,1,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,388A,16,57.117139929,73,11,2492,1,0,0,2
A0044613,23,111,ÎLE-DE-FRANCE,11,,6,6,1,2,,,,02,1,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,383A,16,80.421135799,71,11,1876,1,2,2,2
A0044637,25,111,ÎLE-DE-FRANCE,11,,,6,2,2,,3,,03,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,08,388A,16,24.396452109,71,11,2453,1,2,46,2
A0044711,23,111,ÎLE-DE-FRANCE,11,2,5,3,2,2,,,,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,383B,16,37.100811671,71,11,1917.625,1,1,18,2
A0044775,24,111,ÎLE-DE-FRANCE,11,,6,6,2,2,,,,03,2,2,1,2,49,"02 CDI, Fonctionnaire",CER,00,388A,16,37.156198709,71,11,3467,1,3,3,2
A0044845,27,111,BRETAGNE,53,,7,7,2,2,3,3,1,03,1,2,2,2,49,"02 CDI, Fonctionnaire",CER,08,388A,14M,23.959563894,71,11,2250,1,0,1,2
A0044870,25,111,ÎLE-DE-FRANCE,11,,6,4,2,2,3,3,2,03,2,2,1,2,49,"02 CDI, Fonctionnaire",CER,08,388C,16,33.181849219,71,11,2625,1,0,0,2
A0044882,24,111,ÎLE-DE-FRANCE,11,,6,6,2,2,,,,02,2,1,1,2,49,04 Emploi à durée déterminée,CER,00,332A,16,26.545915611,71,11,3225,1,0,,2
A0045110,23,112,BRETAGNE,53,,4,3,2,2,,,,02,2,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,376D,16,84.414870888,71,52,2308.3125,1,0,0,2
A0045155,23,111,PAYS DE LA LOIRE,52,,6,5,2,2,,,,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,388C,16,59.848098306,71,52,2100,1,2,2,2
A0045171,23,111,PAYS DE LA LOIRE,52,,7,4,1,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,388A,16,74.638543009,71,52,2600,1,0,0,2
A0045197,23,111,ÎLE-DE-FRANCE,11,,4,3,2,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,384B,16,45.299979623,71,52,3100,1,2,2,2
A0045250,24,112,LORRAINE,41,,2,2,2,2,,,,02,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,373D,16,67.033074195,71,41,2492,1,1,1,2
A0045338,23,111,BASSE-NORMANDIE,25,,1,2,2,2,,,,03,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387D,16,29.717488025,71,25,2278,1,2,2,2
A0045367,25,400,BASSE-NORMANDIE,25,,1,4,2,2,,,,02,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,385A,16,42.410925735,71,41,5358,1,1,1,2
A0045377,24,111,RHÔNE-ALPES,82,,1,3,2,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,382C,16,62.032294764,71,11,1495,1,2,2,2
A0045382,22,111,RHÔNE-ALPES,82,,6,4,2,2,,,,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,384B,16,65.723637786,71,11,2549.65625,1,2,7,2
A0045397,25,111,ÎLE-DE-FRANCE,11,,5,1,1,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,384B,16,52.352113878,71,11,2167,1,1,1,2
A0045481,24,111,RHÔNE-ALPES,82,,1,3,1,2,,,,02,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,385A,16,42.153873341,71,31,3116.625,1,0,0,2
A0045524,25,111,ÎLE-DE-FRANCE,11,,6,6,2,2,,,,03,2,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,387F,16,35.074157473,71,31,2320,1,3,3,2
A0045705,24,112,CENTRE,24,,6,6,2,2,,,,02,2,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,386A,16,51.574447447,71,31,2718,1,0,0,2
A0045711,23,111,ÎLE-DE-FRANCE,11,,6,4,2,2,,,,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,388A,16,43.8443348,73,31,4000,1,0,0,2
A0045714,25,111,NORD-PAS-DE-CALAIS,31,,4,4,2,2,,,,02,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,388C,16,42.088080425,71,31,2383,1,0,0,2
A0045795,27,111,PAYS DE LA LOIRE,52,,6,5,1,2,3,3,2,02,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,07,380A,18M,45.164800341,04,31,1620,1,0,0,2
A0045819,28,111,ALSACE,42,,1,1,1,2,,,,02,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,383A,18M,34.11562862,71,31,3771,1,0,15,2
A0045881,23,111,ÎLE-DE-FRANCE,11,,4,5,2,2,,,,03,2,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,353C,16,25.622746297,71,82,2791.65625,1,0,0,2
A0045897,25,111,AQUITAINE,72,,6,7,2,2,,,,02,2,1,2,2,49,"02 CDI, Fonctionnaire",CER,00,387C,05,70.24079163,71,82,2600,1,0,8,2
